word,severity,issafe
shaved pussy,sexual,false
shemale,sexual,false
shibari,sexual,false
shit,profane,false
shitblimp,profane,false
shitty,profane,false
shota,sexual,false
shrimping,sexual,false
skeet,sexual,false
slanteye,offensive,false
slut,sexual,false
s&m,sexual,false
smut,sexual,false
snatch,sexual,false
snowballing,sexual,false
sodomize,sexual,false
sodomy,sexual,false
spic,offensive,false
splooge,sexual,false
splooge moose,sexual,false
spooge,sexual,false
spread legs,sexual,false
spunk,sexual,false
strap on,sexual,false
strapon,sexual,false
strappado,sexual,false
strip club,sexual,false
style doggy,sexual,false
suck,sexual,false
sucks,sexual,false
suicide girls,sexual,false
sultry women,sexual,false
swastika,offensive,false
swinger,sexual,false
tainted love,sexual,false
taste my,sexual,false
tea bagging,sexual,false
threesome,sexual,false
throating,sexual,false
tied up,sexual,false
tight white,sexual,false
tit,sexual,false
tits,sexual,false
titties,sexual,false
titty,sexual,false
tongue in a,sexual,false
topless,sexual,false
tosser,offensive,false
towelhead,offensive,false
tranny,sexual,false
tribadism,sexual,false
tub girl,sexual,false
tubgirl,sexual,false
tushy,sexual,false
twat,sexual,false
twink,sexual,false
twinkie,sexual,false
two girls one cup,sexual,false
undressing,sexual,false
upskirt,sexual,false
urethra play,sexual,false
urophilia,sexual,false
vagina,sexual,false
venus mound,sexual,false
vibrator,sexual,false
violet wand,sexual,false
vorarephilia,sexual,false
voyeur,sexual,false
vulva,sexual,false
wank,sexual,false
wetback,offensive,false
wet dream,sexual,false
white power,offensive,false
wrapping men,sexual,false
wrinkled starfish,sexual,false
xx,sexual,false
xxx,sexual,false
yaoi,sexual,false
yellow showers,sexual,false
yiffy,sexual,false
zoophilia,sexual,false
1488,offensive,false
🖕,profane,false
